word,vocab_rank,semantic_rank,zone,pc1,pc2
ผู้ตอบ,16002,14641,red,-0.0845221223304073,-0.14353112061976678
มหาบุรุษ,16003,21481,red,-0.06673098076630982,-0.027464332358618403
มือสมัครเล่น,16004,41171,red,-0.1445650979446059,-0.16196364361441762
ลร,16005,15613,red,-0.01662330088911433,0.15431089701350212
วิจัยและนวัตกรรม,16006,47878,red,-0.039451419618505505,0.06255959854407893
วิศิษฏ์,16007,29033,red,0.012600444837745355,0.10129158041593432
วีค,16008,15067,red,-0.008692548442497674,0.08117907944696433
สวนป่า,16009,7459,red,-0.12057069199661624,0.04350838940077371
สวัสดิการสังคม,16010,31836,red,-0.12161581016092939,-0.15558881732018603
สุนทรี,16011,45799,red,-0.05600530321718439,0.11991021678396975
เทศาภิบาล,16012,19823,red,-0.12440160879613867,0.04251702510667081
เปลื้อง,16013,47459,red,-0.0952779506704288,-0.055620636398185125
เพิ่มขนาด,16014,43658,red,-0.11742790065363187,-0.15225904960826606
เฟยหง,16015,9440,red,-0.058658389722483856,-0.02102114109262119
เลขทะเบียน,16016,45126,red,-0.021002964643194535,0.00832589589253129
เสียดาย,16017,11506,red,-0.04749539030340248,-0.1839634833858784
เห็นควร,16018,14849,red,-0.16987739004735586,-0.12372539986852035
เอกทัศน์,16019,1654,red,-0.1405344060294965,-0.001988110032383652
แม่จัน,16020,3364,red,-0.06119017508029465,0.02149750940657133
โคมัย,16021,22177,red,-0.03398444505895285,0.11929863859946718
โฆษาจารย์,16022,31913,red,-0.07092229000276608,0.1379953597166295
โฌ,16023,21056,red,-0.09542079655147376,0.16004907921130215
ให้สัญญาณ,16024,17661,red,-0.10004821406784657,-0.054507960468623946
กรมประมง,16025,3305,red,-0.15059503879699082,-0.07004751318563601
ความผันแปร,16026,959,yellow,-0.11772417073666896,-0.21463365601765774
ความเกี่ยวข้องกัน,16027,4551,red,-0.14757837485874561,-0.1580106068658652
คอนเซ็ปต์,16028,31472,red,-0.13531515578064804,-0.10142590093224997
คันทวย,16029,9804,red,-0.14595093382956761,-0.09238013400908769
คันนา,16030,44288,red,-0.0629709852086277,0.005579673988967648
จำกัดความ,16031,37301,red,-0.1379214401104059,-0.2054745473444162
ช้ำ,16032,3023,red,-0.0994271719716913,-0.13796405040812856
ตะเกียบ,16033,25394,red,-0.06975592136934528,-0.0364954134814242
ตัวพระ,16034,10684,red,-0.12853909907808453,-0.020583243777728754
ทำราชการ,16035,7049,red,-0.17812020064819448,-0.12562943021561404
ท่อม,16036,24014,red,-0.08171749466741383,0.14021948326704675
บอชช์,16037,9499,red,-0.040402394594724715,-0.05603240694063768
ประติ,16038,17252,red,-0.0845222837373883,0.01761718986657341
ประยงค์,16039,5952,red,-0.048980131100633,-0.038092857230482995
พระฤๅษี,16040,24087,red,0.0002821323835950772,-0.008416349923890336
พล็อต,16041,40701,red,-0.09348194776897445,-0.1332818759805154
ภีมะ,16042,35279,red,-0.040184705112149874,0.052469527704833305
มอนโร,16043,47049,red,-0.06839947593125922,0.121668213977217
ระดมกำลัง,16044,21843,red,-0.05569274201023036,-0.03464846916657365
รุย,16045,43948,red,0.015236420830114426,0.2557093131811374
ลำนำ,16046,32705,red,-0.047512836663441624,-0.0511171711214184
ล้วนแล้วแต่,16047,27828,red,-0.08021031332009847,-0.20161664220969502
ศรัณย์,16048,29646,red,-0.042898346911375944,0.13050110543522397
ห้วงเวลา,16049,9017,red,-0.10284172032077651,-0.1804791432113737
ห้องขัง,16050,9380,red,-0.12959562325137056,-0.07637704377266041
อย่างใด,16051,9680,red,-0.09959452793442787,-0.2628537276718926
ออกใช้,16052,19756,red,-0.11351819737969565,-0.07520623614028057
อุบาสิกา,16053,12382,red,-0.09099554466422892,-0.028299270886601145
ฮาร์วีย์,16054,25279,red,-0.0069614854988090565,0.12771917831912472
เคียร์,16055,22327,red,-0.06665561400376542,0.14271359184583615
เซ็ม,16056,21602,red,-0.07913367509658521,0.17190736282505625
เบรฟ,16057,27132,red,-0.10262111738346809,0.17447111717975353
เบลอ,16058,33345,red,-0.07153690130684089,0.06631656603640865
เยียน,16059,27150,red,-0.03919372248125192,0.10610599860557919
แซงต์,16060,12775,red,-0.024777824024714686,0.21095030453976057
แม่นาง,16061,8393,red,-0.02155993596298007,0.039257893993856305
แอ็ตต์,16062,32984,red,-0.0714906269972866,0.1479292265496842
ไม่เช่นนั้น,16063,4346,red,-0.10473410343102206,-0.18289568209229554
ไร้เดียงสา,16064,37852,red,-0.09847513097311318,-0.18990362460380478
การปฏิสัมพันธ์,16065,19127,red,-0.14815824779023912,-0.21281855459744684
การรื้อ,16066,30513,red,-0.15861321630376615,-0.13823451902634443
การโกง,16067,33707,red,-0.13986118093701166,-0.18748691341069315
คาบูล,16068,1367,yellow,-0.11782921854221963,0.051311096926455295
งำ,16069,4427,red,-0.08387414808686242,0.0025294405030919314
ชาวไร่,16070,26878,red,-0.0941448501963238,-0.13197361924688594
ชุดคำสั่ง,16071,45639,red,-0.07251934999519251,-0.0689454608702714
ซูโม่,16072,24460,red,-0.02282983738758093,-0.08021656268560483
ตะปู,16073,28295,red,-0.06568655439953962,-0.1569314908355206
ธรรมาสน์,16074,18781,red,-0.10231611290034194,-0.022305134770250222
นุ่น,16075,19300,red,-0.010748181954717884,0.01818614670932485
บัญชีดำ,16076,30062,red,-0.14751041920708619,-0.10886588190712226
ปลิด,16077,6774,red,-0.13542049041682497,-0.058860838677701276
ปีมะเส็ง,16078,982,yellow,-0.05734694504766066,0.07624741543896509
ป่าพรุ,16079,729,yellow,-0.09123483094120574,-0.1113706261371854
ผู้ใช้แรงงาน,16080,34245,red,-0.15210576800673173,-0.21395898548935602
พงศกร,16081,40977,red,-0.05643910828126819,0.0898527241274073
พิส,16082,36094,red,-0.046741663732947525,0.2205373264518584
พืชล้มลุก,16083,2527,red,-0.09008969159712996,-0.04359917163247628
พืชสวน,16084,1350,yellow,-0.13604895876489237,-0.14168929926354715
ฟาล์ว,16085,34705,red,-0.1938782746635439,0.007066307117234568
ภิเษก,16086,32100,red,-0.05367875258798801,0.131548695719578
มิชชั่น,16087,42793,red,-0.08030297538759466,0.07344602074988721
ยีนส์,16088,30032,red,-0.056609317223582804,-0.011777355054160776
ลูกโป่ง,16089,2268,red,-0.08980788734885864,-0.1252413882751232
วล,16090,17637,red,-0.05944894238192464,0.13591287391305554
