word,vocab_rank,semantic_rank,zone,pc1,pc2
acacia,307,14803,red,0.08895791824572236,0.04383059578655712
academia,308,46926,red,-0.14614958062328637,0.0015257461371366893
academic,309,10644,red,-0.44720322133281726,-0.07007117490941904
academica,310,43662,red,0.13654636041312554,-0.01754296991925904
academical,311,36800,red,0.054479896568119496,-0.024559867844807886
academically,312,61058,red,-0.10842454325849596,-0.0042504664005926385
academician,313,52683,red,0.10711709893207133,-0.09577453789067353
academicians,314,65678,red,0.03810949729340484,0.08070302102115226
academics,315,58548,red,-0.32138531774067397,0.028669497557849942
academie,316,38239,red,0.14525538082599865,0.005362630964795538
academies,317,50633,red,-0.15171009128116875,-0.002016255947768812
academy,318,10730,red,-0.3511578893900617,-0.29298920680109386
acadia,319,13337,red,0.045774937849742035,-0.018450922604076735
acadian,320,17190,red,0.04355026703919728,0.037429936899488626
acadians,321,24132,red,0.05512953698622005,0.05894670491785193
acapulco,322,9404,red,-0.02726042358443897,-0.05681529751365633
acasuso,323,67293,red,0.13211072160245135,-0.06382340250363683
acb,324,41292,red,0.05941447181026839,-0.06348630073070026
acc,325,16231,red,-0.12691943927716878,-0.08537840376517304
accademia,326,57919,red,0.10858136381937648,-0.03873203408524095
accede,327,47119,red,0.03890828279840174,0.0982307419824681
acceded,328,59497,red,0.09028283540615761,-0.04577435317683522
acceding,329,69560,red,0.09868635107959298,0.11697802522177057
accelerate,330,38169,red,-0.38332232794168664,0.13873911323783747
accelerated,331,50800,red,-0.3540293499884755,0.09503773166206327
accelerates,332,59277,red,-0.004519504540534099,0.22499047859067484
accelerating,333,33974,red,-0.2948173172438053,0.21008873782585372
acceleration,334,44406,red,-0.2489025933868868,0.1626677937652825
accelerator,335,19426,red,-0.08781994076193742,0.07778663450577769
accelerators,336,33797,red,0.03907272866723043,0.18672456056248463
accent,337,30843,red,-0.1774754217721221,0.08625505963436829
accented,338,15264,red,0.012350530566926258,0.1747581160750194
accents,339,15538,red,-0.10708902875423544,0.2190269514431403
accentuate,340,52498,red,0.10118757462150263,0.3208289797857139
accentuated,341,53566,red,0.07872358464303943,0.3026664065963706
accenture,342,42131,red,0.047371994704007166,-0.07695474769238415
accept,343,29860,red,-0.5570820978234768,-0.030204742583131317
acceptability,344,69366,red,0.08914357564820699,0.27348531284583494
acceptable,345,57638,red,-0.42938203664787317,0.1519486757502627
acceptance,346,50380,red,-0.4197745929544577,0.05221590869676326
acceptances,347,22698,red,0.04526301387095024,0.05149238535501911
accepted,348,30781,red,-0.49280396405372007,-0.22272200968180017
accepting,349,38245,red,-0.418269079639631,0.0005966015923948593
acceptor,350,53846,red,0.067057519063481,0.05404722297276804
accepts,351,50092,red,-0.24731605809468693,-0.11243294881434293
access,352,1054,yellow,-0.5804060218215067,0.009600622726264866
accessed,353,1540,red,-0.17139529770769407,0.033057724837427596
accesses,354,28557,red,0.11728673621228002,0.14656824533625915
accessibility,355,24340,red,-0.13056928774080578,0.195392347035499
accessible,356,1337,yellow,-0.3684960717490759,0.14653630526047662
accessing,357,30545,red,-0.1465255028563709,0.21143563966261328
accession,358,27752,red,-0.2248871768411161,-0.039357468332703344
accessories,359,12356,red,-0.21853641013577335,0.12202863802364468
accessory,360,11868,red,-0.13309691486465952,0.15306024339809335
accident,361,5098,red,-0.4364178731933078,-0.1771338035222671
accidental,362,32633,red,-0.23472969972385072,0.0814667366710065
accidentally,363,7450,red,-0.22352090518914725,-0.11724688679051769
accidents,364,17864,red,-0.37945483420703296,0.06393572711904136
acciona,365,26644,red,0.034187162853770395,0.030119396858955857
acclaim,366,14849,red,-0.21320321709095194,-0.060601767332984426
acclaimed,367,11088,red,-0.20424058020545327,-0.1774475933640448
acclamation,368,51295,red,0.08439507804982667,0.02379583321128517
acclimated,369,33564,red,0.11938396215335272,0.15563409097467557
accolade,370,29578,red,0.020367963003703426,0.020556219481683846
accolades,371,38976,red,-0.09780419776502638,0.026043792910215253
accommodate,372,1467,yellow,-0.40279748799916076,0.08087828674345772
accommodated,373,2404,red,-0.0727088440777353,0.12984478415495682
accommodates,374,6031,red,0.024730666175625172,0.15036017572591015
accommodating,375,11462,red,-0.1554124142569011,0.22047444882706135
accommodation,376,1325,yellow,-0.32613868859690703,0.09320692220386191
accommodations,377,9105,red,-0.22584315654310977,0.08872391238216809
accommodative,378,13510,red,0.021838969896411604,0.15413695414290018
accompanied,379,8661,red,-0.40145565717864534,-0.21313990972002964
